psych_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,value
0.2.1+,2017-01-23,11:22:51,1,0,0.034676164854317904,0005,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,11:22:51,1,0,49.0033164726583,0005,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,11:22:51,2,0,55.145153508336534,0005,pilot,0.0.5,8st,practice_start,,,
0.2.1+,2017-01-23,11:22:51,2,0,55.15058093021389,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,55.729312594999556,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,56.30544501026907,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,56.88157776772505,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,57.45854614489099,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,58.03469977573104,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,58.612334732420095,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,59.18851813349511,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,59.76465978780334,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,60.34080760147026,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,60.91826598986745,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,61.49438642860514,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,62.0705250032338,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,62.646686504365334,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,63.22283466021918,0005,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,11:22:51,2,0,63.80884908270082,0005,pilot,0.0.5,8st,high_latency,,,0.010014422481638974
