Tmu         ,Code,TriNo,Comnt,Time,Time_Diff,Trig_to_256,"Start=1, Stop=2",Manual_triggers,Sound_Triggers,,time_bw_triggers,,,,,,,total=750
0,41,2017-02-21T10:04:35.000,                                        ,0,#VALUE!,,,,,,0.11254434,avg,,,,,,1st stim=745
501953,1,252,Trig. 252                               ,0.501953,0.501953,,1,,,,0.081716107,sd,,,,,,2nd stim=746
517578,1,15,Trig. 15                                ,0.517578,0.015625,,,,,,0.001953,min,,,,,,3rd stim=746
683594,1,256,Trig. 256                               ,0.683594,0.166016,,,,,,0.332031,max,,,,,,
687500,1,256,Trig. 256                               ,0.6875,0.003906,,,,,,0.163086,median,,,,,,
867188,1,256,Trig. 256                               ,0.867188,0.179688,,,,,,,,,,,,,
1042969,1,256,Trig. 256                               ,1.042969,0.175781,,,,,,7,1st stim,,,,,,
1210938,1,16,Trig. 16                                ,1.210938,0.167969,,,,,,8,2nd stim,,,,,,
1558594,1,256,Trig. 256                               ,1.558594,0.347656,,,,,,9,3rd stim,,,,,,
1734375,1,256,Trig. 256                               ,1.734375,0.175781,,,,,,,,,,,,,
1912109,1,17,Trig. 17                                ,1.912109,0.177734,,,,,,1,stream 1,,,,,,
2085938,1,256,Trig. 256                               ,2.085938,0.173829,,,,,,3,stream 1 (up),,,,,,
2361328,1,256,Trig. 256                               ,2.361328,0.27539,,,,,,2,stream 2,,,,,,
2435547,1,256,Trig. 256                               ,2.435547,0.074219,,,,,,4,stream 2 (up),,,,,,
2847656,1,1,Trig. 1                                 ,2.847656,0.412109,,,1,,,,,,,,,,
2916016,1,2048,Trig. 2048                              ,2.916016,0.06836,,,,,,5,last block,,,,,,
2951172,1,3,Trig. 3                                 ,2.951172,0.035156,,,3,,,6,last block,,,,,,
3312500,1,252,Trig. 252                               ,3.3125,0.361328,,1,,,,,,,,,,,
3322266,1,7,Trig. 7                                 ,3.322266,0.009766,0.009766,,7,1,,,,,,,,,
3478516,1,256,Trig. 256                               ,3.478516,0.15625,,,,,,,,,,,,,
3648438,1,256,Trig. 256                               ,3.648438,0.169922,,,,,,,,,,,,,
3824219,1,256,Trig. 256                               ,3.824219,0.175781,,,,,,,,,,,,,
4021484,1,8,Trig. 8                                 ,4.021484,0.197265,0.197265,,8,2,,,,,,,,,
4175781,1,256,Trig. 256                               ,4.175781,0.154297,,,,,,,,,,,,,
4525391,1,256,Trig. 256                               ,4.525391,0.34961,,,,,,,,,,,,,
4720703,1,9,Trig. 9                                 ,4.720703,0.195312,0.195312,,9,3,,,,,,,,,
4863281,1,256,Trig. 256                               ,4.863281,0.142578,,,,,,,,,,,,,
4867188,1,256,Trig. 256                               ,4.867188,0.003907,,,,,,,,,,,,,
5046875,1,256,Trig. 256                               ,5.046875,0.179687,,,,,,,,,,,,,
5144531,1,256,Trig. 256                               ,5.144531,0.097656,,,,,,,,,,,,,
5222656,1,256,Trig. 256                               ,5.222656,0.078125,,,,,,,,,,,,,
5390625,1,1,Trig. 1                                 ,5.390625,0.167969,,,1,,,,,,,,,,
5449219,1,2048,Trig. 2048                              ,5.449219,0.058594,,,,,,,,,,,,,
5474609,1,3,Trig. 3                                 ,5.474609,0.02539,,,3,,,,,,,,,,
6121094,1,252,Trig. 252                               ,6.121094,0.646485,,1,,,,,,,,,,,
6144531,1,7,Trig. 7                                 ,6.144531,0.023437,0.023437,,7,1,,,,,,,,,
6302734,1,256,Trig. 256                               ,6.302734,0.158203,,,,,,,,,,,,,
6306641,1,256,Trig. 256                               ,6.306641,0.003907,,,,,,,,,,,,,
6486328,1,256,Trig. 256                               ,6.486328,0.179687,,,,,,,,,,,,,
6662109,1,256,Trig. 256                               ,6.662109,0.175781,,,,,,,,,,,,,
6830078,1,8,Trig. 8                                 ,6.830078,0.167969,0.167969,,8,2,,,,,,,,,
7177734,1,256,Trig. 256                               ,7.177734,0.347656,,,,,,,,,,,,,
7353516,1,256,Trig. 256                               ,7.353516,0.175782,,,,,,,,,,,,,
7531250,1,9,Trig. 9                                 ,7.53125,0.177734,0.177734,,9,3,,,,,,,,,
7705078,1,256,Trig. 256                               ,7.705078,0.173828,,,,,,,,,,,,,
7980469,1,256,Trig. 256                               ,7.980469,0.275391,,,,,,,,,,,,,
7988281,1,1,Trig. 1                                 ,7.988281,0.007812,0.007812,,1,,,,,,,,,,
