psych_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase
0.2.1,2017-01-09,11:22:14,1,0,5.510661840438843,abin,pilot,0.0.3,instructions,,
0.2.1,2017-01-09,11:22:14,1,0,5.510661840438843,abin,pilot,0.0.3,bad_delta_latency(5.379399919509888),,
0.2.1,2017-01-09,11:22:14,1,0,9.986640930175781,abin,pilot,0.0.3,instructions,,
0.2.1,2017-01-09,11:22:14,2,0,12.614698886871338,abin,pilot,0.0.3,practice_start,,
0.2.1,2017-01-09,11:22:14,2,0,12.616797924041748,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,13.193893909454346,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,13.77166199684143,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,13.77166199684143,abin,pilot,0.0.3,good_delta_latency(0.00010922050476080969),,
0.2.1,2017-01-09,11:22:14,2,0,14.348426818847656,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,14.926219940185547,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,15.504073858261108,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,16.081288814544678,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,16.65836787223816,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,17.23550295829773,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,17.812590837478638,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,18.390041828155518,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,18.967854976654053,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:22:14,2,0,19.54596996307373,abin,pilot,0.0.3,stimulus,low,practice
