weber_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase,stimtrak,value,daq_code
0.5.1-dirty,2017-06-06,14:02:12,1,0,0.008646090185720823,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,3,0,0.7759984969761717,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,4,0,210.01868715248747,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,5,0,233.00828401894432,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,6,0,263.5045317349741,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,7,0,302.6657717520011,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,8,0,318.77384802187953,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,8,0,318.78547079382224,1116,study1,0.3.2,instructions,,,,,12
0.5.1-dirty,2017-06-06,14:02:12,8,0,343.2184136318974,1116,study1,0.3.2,instructions,,,,,12
0.5.1-dirty,2017-06-06,14:02:12,9,0,348.06791316106137,1116,study1,0.3.2,practice_start,,,,,13
0.5.1-dirty,2017-06-06,14:02:12,9,0,348.08028231293247,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,351.76503486574984,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,352.04390071037415,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,352.0683034567519,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,354.62310579008954,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,354.77310648857383,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,354.8709569542898,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,357.3858664493091,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,357.6392721284683,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,357.67100895570366,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,360.204445379557,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,360.3877791547893,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,360.4710612422132,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,362.95803052631163,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,363.0942545566086,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,363.2711135287209,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,365.8190878256537,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,365.98889353594495,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,366.07116011332073,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,368.5939556340145,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,368.7293446196927,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,368.87120527244224,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,370.98858876889244,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,371.2579272932435,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,371.6712578440456,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,374.02802830541805,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,374.1946962550137,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,374.4713158324612,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,376.98587950668116,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,377.202552345665,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,9,0,377.27136640840035,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,9,0,379.6418143247356,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,9,0,379.80992827853333,1116,study1,0.3.2,stream_1_up,,practice,,,3
