weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,stimtrak,value,daq_code
0.4.2,2017-03-22,11:01:33,1,0,0.008469330997968427,Jackie,pilot,0.2.0,6st,break_start,,,,,253
0.4.2,2017-03-22,11:01:33,1,0,0.49764183285606123,Jackie,pilot,0.2.0,6st,high_latency,,,,0.2391725018580928,14
0.4.2,2017-03-22,11:01:33,3,0,1.3259339656181055,Jackie,pilot,0.2.0,6st,break_start,,,,,253
0.4.2,2017-03-22,11:01:33,3,0,1.3363174275721121,Jackie,pilot,0.2.0,6st,instructions,,,,,15
0.4.2,2017-03-22,11:01:33,3,0,632.3383635577293,Jackie,pilot,0.2.0,6st,instructions,,,,,15
0.4.2,2017-03-22,11:01:33,4,0,638.6872263261716,Jackie,pilot,0.2.0,6st,practice_start,,,,,16
0.4.2,2017-03-22,11:01:33,5,0,659.9496980411377,Jackie,pilot,0.2.0,6st,break_start,,,,,253
0.4.2,2017-03-22,11:01:33,5,0,659.9601904095598,Jackie,pilot,0.2.0,6st,instructions,,,,,15
0.4.2,2017-03-22,11:01:33,6,0,666.8453186041606,Jackie,pilot,0.2.0,6st,practice_start,,,,,16
0.4.2,2017-03-22,11:01:33,7,0,687.8541976173433,Jackie,pilot,0.2.0,6st,break_start,,,,,253
0.4.2,2017-03-22,11:01:33,7,0,687.864899245837,Jackie,pilot,0.2.0,6st,instructions,,,,,15
0.4.2,2017-03-22,11:01:33,7,0,698.2840463143284,Jackie,pilot,0.2.0,6st,instructions,,,,,15
0.4.2,2017-03-22,11:01:33,8,0,708.9958869277175,Jackie,pilot,0.2.0,6st,practice_start,,,,,16
0.4.2,2017-03-22,11:01:33,8,0,709.0064739478335,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,711.7913896607847,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,711.8207624764191,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,711.9522214211038,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,714.1532559185107,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,714.2724443543543,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,714.6208315835602,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,716.9377080662343,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,717.1071936143176,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,717.4208835849727,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,719.8261952556122,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,719.9616301416609,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,720.2209335907173,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,720.7563959029499,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,720.8734903125987,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,8,0,722.4279779005401,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,722.5784327561005,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,8,0,723.0209816007941,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,725.4532022920534,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,725.6405248379447,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,8,0,725.8210336022071,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,728.0722446164709,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,728.2750227577458,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,728.621080186806,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,730.800486201807,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,730.9361192292045,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,731.4211281968824,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,733.6585787934018,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,733.8111342323532,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,8,0,734.2211773473405,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,736.4087613257739,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,736.5259016357923,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,8,0,737.0212290636582,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,737.199730470747,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,737.2163971516684,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,8,0,739.4224524653205,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,8,0,739.5751575793911,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,8,0,739.8212756482571,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,8,0,742.3001314005,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,8,0,742.4507812613592,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,9,0,742.6227209112103,Jackie,pilot,0.2.0,6st,break_start,,,,,253
0.4.2,2017-03-22,11:01:33,9,0,742.6335089236304,Jackie,pilot,0.2.0,6st,instructions,,,,,15
0.4.2,2017-03-22,11:01:33,10,0,754.1298259178579,Jackie,pilot,0.2.0,6st,practice_start,,,,,16
0.4.2,2017-03-22,11:01:33,10,0,754.1409258247172,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,10,0,756.6881397720435,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,10,0,756.8403964309468,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,10,0,756.9409826727529,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,10,0,759.2810117581921,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,10,0,759.4649003291997,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,10,0,759.7413400114096,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,10,0,762.0040366666981,Jackie,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.2,2017-03-22,11:01:33,10,0,762.1559951157446,Jackie,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.2,2017-03-22,11:01:33,10,0,762.5414461809605,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.2,2017-03-22,11:01:33,10,0,764.7652560998313,Jackie,pilot,0.2.0,6st,stream_2,,practice,,,2
0.4.2,2017-03-22,11:01:33,10,0,764.9510722012819,Jackie,pilot,0.2.0,6st,stream_2_up,,practice,,,4
0.4.2,2017-03-22,11:01:33,10,0,765.3415266919205,Jackie,pilot,0.2.0,6st,stimulus,,practice,,,9
