weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,code,stimulus,stimtrak,value
0.5.3,2017-06-08,08:13:02,1,0,0.00818945828359574,abin,study2,flash,0.1.0,break_start,,,
0.5.3,2017-06-08,08:13:02,3,0,0.31931930987047963,abin,study2,flash,0.1.0,break_start,,,
0.5.3,2017-06-08,08:13:02,4,1,74.75550824817037,abin,study2,flash,0.1.0,trial_start,,,
0.5.3,2017-06-08,08:13:02,4,1,74.75856650123023,abin,study2,flash,0.1.0,experiment_start,,,
0.5.3,2017-06-08,08:13:02,4,1,76.80511854685028,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.2976150358736,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.33094905343023,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.36428278591484,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.39761651837034,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.43095025085495,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.46428426841157,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.4976182859973,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.53095230355393,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.56428603603854,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.60002799666836,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.63336172915297,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.66856114708935,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.68522829841822,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.71856231600395,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.75189633356058,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.78523063621833,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.81856436870294,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.85189810115844,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.88523183364305,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.91856585119967,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.95189958368428,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,77.98523331616889,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.01856733372551,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.05190106621012,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.08523536886787,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.11856910132337,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.1536154213245,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.18694943888113,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.22028345646686,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.25681770622032,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.29018165913294,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.32514758128673,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.35848559025908,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.39181932271458,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.42515334030031,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.45848707275582,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.49182821778231,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.5262957875384,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.54296265376615,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.57629638625076,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.61227041718666,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.64560471984441,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.67893873743014,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.71227246988565,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.74621973463218,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.7795537521888,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.81288748467341,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.84622121712891,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.87955551981577,abin,study2,flash,0.1.0,stream_1,,,
0.5.3,2017-06-08,08:13:02,4,1,78.9128895373724,abin,study2,flash,0.1.0,stream_1,,,
