weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,stimtrak,value,daq_code
0.4.1,2017-03-20,14:52:21,1,0,0.008648965799011421,beatriz,pilot,0.2.0,6st,break_start,,,,,253
0.4.1,2017-03-20,14:52:21,1,0,0.4641621148670083,beatriz,pilot,0.2.0,6st,high_latency,,,,0.2055131490679969,14
0.4.1,2017-03-20,14:52:21,3,0,1.1611934358292046,beatriz,pilot,0.2.0,6st,break_start,,,,,253
0.4.1,2017-03-20,14:52:21,3,0,1.1730044044523993,beatriz,pilot,0.2.0,6st,instructions,,,,,15
0.4.1,2017-03-20,14:52:21,3,0,2378.4848643811256,beatriz,pilot,0.2.0,6st,instructions,,,,,15
0.4.1,2017-03-20,14:52:21,4,0,2384.4331918210437,beatriz,pilot,0.2.0,6st,practice_start,,,,,16
0.4.1,2017-03-20,14:52:21,5,0,2405.69776002705,beatriz,pilot,0.2.0,6st,break_start,,,,,253
0.4.1,2017-03-20,14:52:21,5,0,2405.7085115779023,beatriz,pilot,0.2.0,6st,instructions,,,,,15
0.4.1,2017-03-20,14:52:21,6,0,2411.9938704300134,beatriz,pilot,0.2.0,6st,practice_start,,,,,16
0.4.1,2017-03-20,14:52:21,7,0,2433.0060431858137,beatriz,pilot,0.2.0,6st,break_start,,,,,253
0.4.1,2017-03-20,14:52:21,7,0,2433.0164976663445,beatriz,pilot,0.2.0,6st,instructions,,,,,15
0.4.1,2017-03-20,14:52:21,7,0,2437.914637897791,beatriz,pilot,0.2.0,6st,instructions,,,,,15
0.4.1,2017-03-20,14:52:21,8,0,2491.8543839397285,beatriz,pilot,0.2.0,6st,practice_start,,,,,16
0.4.1,2017-03-20,14:52:21,8,0,2491.8645088489607,beatriz,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.1,2017-03-20,14:52:21,8,0,2494.6570308876157,beatriz,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.1,2017-03-20,14:52:21,8,0,2494.6835542496883,beatriz,pilot,0.2.0,6st,high_latency,,,,0.019045400727463857,14
0.4.1,2017-03-20,14:52:21,8,0,2494.693804601283,beatriz,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.1,2017-03-20,14:52:21,8,0,2494.824187397205,beatriz,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.1,2017-03-20,14:52:21,8,0,2496.9378187910947,beatriz,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.1,2017-03-20,14:52:21,8,0,2497.0929981209306,beatriz,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.1,2017-03-20,14:52:21,8,0,2497.4950540072136,beatriz,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.1,2017-03-20,14:52:21,8,0,2499.821623526373,beatriz,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.1,2017-03-20,14:52:21,8,0,2500.0286598735825,beatriz,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.1,2017-03-20,14:52:21,8,0,2500.2951077193525,beatriz,pilot,0.2.0,6st,stimulus,,practice,,,9
0.4.1,2017-03-20,14:52:21,8,0,2502.6005136864746,beatriz,pilot,0.2.0,6st,stream_1,,practice,,,1
0.4.1,2017-03-20,14:52:21,8,0,2502.8338478846,beatriz,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.4.1,2017-03-20,14:52:21,8,0,2503.0976577345054,beatriz,pilot,0.2.0,6st,high_latency,,,,0.0025500151527921844,14
