weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,separation,code,stimulus,stimtrak,value
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,1,0,0.014164209365844727,david,study2,gap,0.0.1,6st,break_start,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,3,0,0.5954630374908447,david,study2,gap,0.0.1,6st,break_start,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,2.184767007827759,david,study2,gap,0.0.1,6st,trial_start,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,2.185421943664551,david,study2,gap,0.0.1,6st,experiment_start,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,3.532707929611206,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,3.820847988128662,david,study2,gap,0.0.1,6st,stream_1_up,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,4.139317989349365,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,4.642796039581299,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,4.726130962371826,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,4.810874938964844,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,4.894211053848267,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,4.978899002075195,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.062234163284302,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.145569086074829,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.2289040088653564,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.312238931655884,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.39557409286499,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.478909015655518,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.563351154327393,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.64668607711792,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.732717037200928,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.816053152084351,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.899388074874878,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,5.982722997665405,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,6.0691399574279785,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,6.154641151428223,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,6.1713080406188965,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,6.337989091873169,david,study2,gap,0.0.1,6st,stream_1_up,,,
