weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,stimtrak,value
0.5.0,2017-05-23,13:34:59,1,0,0.028233817483851453,mary,study2,0.0.1,6st,break_start,,,
0.5.0,2017-05-23,13:34:59,2,0,0.701100335274532,mary,study2,0.0.1,6st,break_start,,,
0.5.0,2017-05-23,13:34:59,3,1,9.755114492218127,mary,study2,0.0.1,6st,trial_start,,,
0.5.0,2017-05-23,13:34:59,3,1,9.756932187508937,mary,study2,0.0.1,6st,experiment_start,,,
0.5.0,2017-05-23,13:34:59,3,1,10.942860652714444,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.434097253542859,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.46750253731443,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.500837330644572,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.53417143959814,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.5695644854095,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.60289825217842,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.636233045508561,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.669567496650416,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.705866652613622,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.748593784112018,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.765260667496477,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.798595118638332,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.831929911968473,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.865291738042288,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.898625846999494,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.931959955953062,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,11.965294749283203,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.005107477394631,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.021775045152026,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.05510949629388,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.089767183071672,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.123101292028878,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.159373757436697,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.1927085507632,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.22002188625629,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.253356337398145,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.288833561116917,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.322168012258771,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.361457879222144,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.394792330367636,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.4308266338885,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.464161085033993,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.497494851802912,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.530829645133053,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.564164438463195,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.597872215199459,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.632004987714026,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.671125130116707,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.687792355689453,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.715018091406819,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.748787461736356,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.783455756296462,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.816790549626603,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.85012568514503,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.883461505032756,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.918968498983304,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,12.952302265755861,mary,study2,0.0.1,6st,stream_1,,,
