weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,code,stimulus,stimtrak,value
0.5.3,2017-06-08,09:36:26,1,0,0.02115280512953177,mary,study2,ripple,0.1.0,break_start,,,
0.5.3,2017-06-08,09:36:26,2,0,0.7193322479288327,mary,study2,ripple,0.1.0,break_start,,,
0.5.3,2017-06-08,09:36:26,3,1,111.91322720146854,mary,study2,ripple,0.1.0,trial_start,,,
0.5.3,2017-06-08,09:36:26,3,1,111.91498568643874,mary,study2,ripple,0.1.0,experiment_start,,,
0.5.3,2017-06-08,09:36:26,3,1,112.00755679745635,mary,study2,ripple,0.1.0,stream_2_up,,,
0.5.3,2017-06-08,09:36:26,3,1,114.47328806920268,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,114.97010609766585,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.00799376677605,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.04132764760288,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.07437477800704,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.1243757703487,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.14808571853791,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.18141994155303,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.21631589357276,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.21631589357276,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.21631589357276,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.21631589357276,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.21631589357276,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.53674956422765,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.57008344506903,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.63151441862283,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.66484932599997,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.70013263063447,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.73346753801161,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.76410466458765,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.79743854541448,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.83256273435836,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.8658962729969,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.91471091246058,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.93137768178713,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.96471156261396,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,115.99804612781736,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,3,1,116.0313810351945,mary,study2,ripple,0.1.0,stream_1,,,
