weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,stimtrak,value,daq_code
0.4.4-dirty,2017-03-31,12:35:50,1,0,0.00922353735404613,sandra,pilot,0.2.1,6st,break_start,,,,,253
0.4.4-dirty,2017-03-31,12:35:50,1,0,0.5119385394009441,sandra,pilot,0.2.1,6st,high_latency,,,,0.252715002046898,12
0.4.4-dirty,2017-03-31,12:35:50,3,0,1.1858614621960442,sandra,pilot,0.2.1,6st,break_start,,,,,253
0.4.4-dirty,2017-03-31,12:35:50,4,0,576.7855484800202,sandra,pilot,0.2.1,6st,break_start,,,,,253
0.4.4-dirty,2017-03-31,12:35:50,5,0,679.0136363066176,sandra,pilot,0.2.1,6st,break_start,,,,,253
0.4.4-dirty,2017-03-31,12:35:50,5,0,679.0242462825881,sandra,pilot,0.2.1,6st,instructions,,,,,13
0.4.4-dirty,2017-03-31,12:35:50,5,0,821.6991145951524,sandra,pilot,0.2.1,6st,instructions,,,,,13
0.4.4-dirty,2017-03-31,12:35:50,6,0,823.172287592357,sandra,pilot,0.2.1,6st,practice_start,,,,,14
0.4.4-dirty,2017-03-31,12:35:50,6,0,823.1815732813902,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,825.7301901499286,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,825.8818228574492,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,825.981622774656,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,828.3621435829245,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,828.6145178911302,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,828.7816728381185,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,831.1964648808789,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,831.416072424383,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,831.5817308843652,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,834.0743299877868,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,834.2809706381777,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,834.3838350893548,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,836.8880745181523,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,837.0904897096207,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,837.1843435927331,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,839.5473715541448,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,839.7520832216687,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,839.9844167492502,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,842.4513315284639,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,842.6364163797607,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,842.7844736550996,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
0.4.4-dirty,2017-03-31,12:35:50,6,0,845.197393734883,sandra,pilot,0.2.1,6st,stream_1,,practice,,,1
0.4.4-dirty,2017-03-31,12:35:50,6,0,845.3830564827622,sandra,pilot,0.2.1,6st,stream_1_up,,practice,,,3
0.4.4-dirty,2017-03-31,12:35:50,6,0,845.5845297056512,sandra,pilot,0.2.1,6st,stimulus,,practice,,,9
