weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,stimtrak,value,daq_code
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,11,0,5.9870047834920115e-6,david,pilot,0.2.0,6st,break_start,,,,,253
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,12,1,2.352329244209045,david,pilot,0.2.0,6st,trial_start,,,,,252
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,12,1,3.05232927271868,david,pilot,0.2.0,6st,stimulus,,test,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,12,1,5.149591301395219,david,pilot,0.2.0,6st,stream_1,,test,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,12,1,5.259323405739053,david,pilot,0.2.0,6st,high_latency,,,,0.10699413302037364,10
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,12,1,5.259323405739053,david,pilot,0.2.0,6st,stream_1_up,,test,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,14,3,5.425560861182191,david,pilot,0.2.0,6st,trial_start,,,,,252
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,14,3,6.125560889691712,david,pilot,0.2.0,6st,stimulus,,test,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,14,3,8.100831138810975,david,pilot,0.2.0,6st,stream_1,,test,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,14,3,8.20236674851759,david,pilot,0.2.0,6st,stream_1_up,,test,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,15,4,8.225603169349313,david,pilot,0.2.0,6st,trial_start,,,,,252
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,15,4,8.925605193527133,david,pilot,0.2.0,6st,stimulus,,test,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,16,5,11.02563122274313,david,pilot,0.2.0,6st,trial_start,,,,,252
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,16,5,11.086405023154043,david,pilot,0.2.0,6st,stream_1,,test,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,16,5,11.186405108682663,david,pilot,0.2.0,6st,stream_1_up,,test,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,16,5,11.727096927041543,david,pilot,0.2.0,6st,stimulus,,test,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,16,5,13.697156771430684,david,pilot,0.2.0,6st,stream_1,,test,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,16,5,13.813824678262677,david,pilot,0.2.0,6st,stream_1_up,,test,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,14:32:01,17,6,13.827116684157318,david,pilot,0.2.0,6st,trial_start,,,,,252
