"Tmu","TriNo","Code","Comnt"
3478516,710,1,"Trig. 710"
4175781,810,1,"Trig. 810"
4863281,910,1,"Trig. 910"
6302734,710,1,"Trig. 710"
7705078,910,1,"Trig. 910"
9097656,721,1,"Trig. 721"
9794922,821,1,"Trig. 821"
10486328,921,1,"Trig. 921"
11921875,720,1,"Trig. 720"
13324219,920,1,"Trig. 920"
14716797,711,1,"Trig. 711"
15414063,811,1,"Trig. 811"
16105469,911,1,"Trig. 911"
17541016,710,1,"Trig. 710"
18943359,910,1,"Trig. 910"
20335938,721,1,"Trig. 721"
21033203,821,1,"Trig. 821"
21724609,921,1,"Trig. 921"
23160156,720,1,"Trig. 720"
24562500,920,1,"Trig. 920"
25955078,720,1,"Trig. 720"
26652344,820,1,"Trig. 820"
27343750,920,1,"Trig. 920"
28779297,720,1,"Trig. 720"
30181641,920,1,"Trig. 920"
31621094,711,1,"Trig. 711"
32271484,811,1,"Trig. 811"
32962891,911,1,"Trig. 911"
34398438,710,1,"Trig. 710"
35800781,910,1,"Trig. 910"
37193359,710,1,"Trig. 710"
37890625,810,1,"Trig. 810"
38582031,910,1,"Trig. 910"
40017578,710,1,"Trig. 710"
40722656,810,1,"Trig. 810"
41419922,910,1,"Trig. 910"
42859375,710,1,"Trig. 710"
43546875,810,1,"Trig. 810"
45636719,710,1,"Trig. 710"
46341797,810,1,"Trig. 810"
47039063,910,1,"Trig. 910"
48478516,721,1,"Trig. 721"
49166016,821,1,"Trig. 821"
51255859,720,1,"Trig. 720"
51960938,820,1,"Trig. 820"
52658203,920,1,"Trig. 920"
54097656,720,1,"Trig. 720"
54785156,820,1,"Trig. 820"
56875000,720,1,"Trig. 720"
57580078,820,1,"Trig. 820"
58277344,920,1,"Trig. 920"
59716797,711,1,"Trig. 711"
60404297,811,1,"Trig. 811"
62494141,710,1,"Trig. 710"
63246094,810,1,"Trig. 810"
63933594,910,1,"Trig. 910"
65335938,710,1,"Trig. 710"
66023438,810,1,"Trig. 810"
68164063,721,1,"Trig. 721"
68818359,821,1,"Trig. 821"
69515625,921,1,"Trig. 921"
70955078,720,1,"Trig. 720"
71642578,820,1,"Trig. 820"
73732422,720,1,"Trig. 720"
74437500,820,1,"Trig. 820"
75134766,920,1,"Trig. 920"
76574219,711,1,"Trig. 711"
77261719,811,1,"Trig. 811"
77966797,911,1,"Trig. 911"
79402344,710,1,"Trig. 710"
80056641,810,1,"Trig. 810"
80753906,910,1,"Trig. 910"
82193359,710,1,"Trig. 710"
82880859,810,1,"Trig. 810"
83585938,910,1,"Trig. 910"
85021484,710,1,"Trig. 710"
85675781,810,1,"Trig. 810"
86373047,910,1,"Trig. 910"
87812500,710,1,"Trig. 710"
88500000,810,1,"Trig. 810"
89205078,910,1,"Trig. 910"
90640625,721,1,"Trig. 721"
91341797,821,1,"Trig. 821"
92029297,921,1,"Trig. 921"
93431641,720,1,"Trig. 720"
94119141,820,1,"Trig. 820"
94824219,920,1,"Trig. 920"
96259766,720,1,"Trig. 720"
96960938,820,1,"Trig. 820"
97648438,920,1,"Trig. 920"
99050781,711,1,"Trig. 711"
99738281,811,1,"Trig. 811"
100443359,911,1,"Trig. 911"
101878906,710,1,"Trig. 710"
102580078,810,1,"Trig. 810"
103267578,910,1,"Trig. 910"
104707031,710,1,"Trig. 710"
105357422,810,1,"Trig. 810"
106062500,910,1,"Trig. 910"
108199219,810,1,"Trig. 810"
108886719,910,1,"Trig. 910"
110326172,721,1,"Trig. 721"
110976563,821,1,"Trig. 821"
111681641,921,1,"Trig. 921"
113818359,821,1,"Trig. 821"
114505859,921,1,"Trig. 921"
115945313,720,1,"Trig. 720"
116595703,820,1,"Trig. 820"
117300781,920,1,"Trig. 920"
119437500,820,1,"Trig. 820"
120125000,920,1,"Trig. 920"
121564453,711,1,"Trig. 711"
122214844,811,1,"Trig. 811"
122919922,911,1,"Trig. 911"
125056641,811,1,"Trig. 811"
125744141,911,1,"Trig. 911"
127146484,721,1,"Trig. 721"
127833984,821,1,"Trig. 821"
128585938,921,1,"Trig. 921"
130675781,821,1,"Trig. 821"
131363281,921,1,"Trig. 921"
132802734,711,1,"Trig. 711"
133503906,811,1,"Trig. 811"
134205078,911,1,"Trig. 911"
136294922,811,1,"Trig. 811"
136982422,911,1,"Trig. 911"
138421875,721,1,"Trig. 721"
139123047,821,1,"Trig. 821"
