weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,stimtrak,value,daq_code
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,1,0,1.054853223081409e-5,karli,pilot,0.2.0,6st,break_start,,,,,253
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,1,0,0.3732988709934375,karli,pilot,0.2.0,6st,start,,,,,10
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,3,0,0.7125684621124151,karli,pilot,0.2.0,6st,break_start,,,,,253
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,3,0,0.722343245247373,karli,pilot,0.2.0,6st,instructions,,,,,11
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,3,0,256.1009463173791,karli,pilot,0.2.0,6st,instructions,,,,,11
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,4,0,260.4502820591989,karli,pilot,0.2.0,6st,practice_start,,,,,12
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,5,0,281.4684477720787,karli,pilot,0.2.0,6st,break_start,,,,,253
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,5,0,281.4789669394745,karli,pilot,0.2.0,6st,instructions,,,,,11
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,6,0,286.5101552430339,karli,pilot,0.2.0,6st,practice_start,,,,,12
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,7,0,307.52090049113394,karli,pilot,0.2.0,6st,break_start,,,,,253
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,7,0,307.5314550103675,karli,pilot,0.2.0,6st,instructions,,,,,11
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,7,0,316.3340095797779,karli,pilot,0.2.0,6st,instructions,,,,,11
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,477.8914795513851,karli,pilot,0.2.0,6st,practice_start,,,,,12
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,477.9039941019451,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,486.55498023290585,karli,pilot,0.2.0,6st,stream_1,,practice,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,486.5809475832029,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,486.6864862183426,karli,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,495.681579725379,karli,pilot,0.2.0,6st,response_timeout,,practice,,,13
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,495.7031811237152,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,498.1051765638983,karli,pilot,0.2.0,6st,stream_1,,practice,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,498.356458281838,karli,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,498.5032049006771,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,500.77496958744115,karli,pilot,0.2.0,6st,stream_1,,practice,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,500.9598736684973,karli,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,501.30323010311605,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,503.61044184950555,karli,pilot,0.2.0,6st,stream_1,,practice,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,503.71178216881816,karli,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,504.1032527396962,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,506.25058865086265,karli,pilot,0.2.0,6st,stream_1,,practice,,,1
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,506.4375494106079,karli,pilot,0.2.0,6st,stream_1_up,,practice,,,3
0.3.7-30-g1a4b294-dirty,2017-03-10,16:35:29,8,0,506.9032745209898,karli,pilot,0.2.0,6st,stimulus,,practice,,,9
