psych_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,value
0.3.0,30/01/2017,12:24:37,9,0,0.041455594,abin,pilot,0.0.6,6st,instructions,,,
0.3.0,30/01/2017,12:24:37,12,2,9.231070732,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,12,2,9.293476067,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,12,2,10.09650395,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,12,2,10.81616157,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,12,2,10.90415655,abin,pilot,0.0.6,6st,high_latency,,,0.007652608
0.3.0,30/01/2017,12:24:37,13,3,11.64382322,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,13,3,11.64580677,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,13,3,12.44589522,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,13,3,12.94889167,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,14,4,14.04540957,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,14,4,14.04731968,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,14,4,14.847411,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,14,4,15.42364294,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,15,5,16.44700781,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,15,5,16.44892039,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,15,5,17.2490072,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,15,5,17.93514261,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,16,6,18.84861262,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,16,6,18.85078694,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,16,6,19.65089877,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,16,6,20.51872907,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,17,7,21.25019036,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,17,7,21.25231216,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,17,7,22.05240594,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,17,7,22.61526706,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,18,8,23.65205444,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,18,8,23.65394446,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,18,8,24.45403291,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,18,8,24.93943791,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,19,9,26.05363587,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,19,9,26.05574659,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,19,9,26.85583751,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,19,9,27.25076224,abin,pilot,0.0.6,6st,stream_1,,test,
0.3.0,30/01/2017,12:24:37,20,10,28.45532108,abin,pilot,0.0.6,6st,trial_start,,,
0.3.0,30/01/2017,12:24:37,20,10,28.45729028,abin,pilot,0.0.6,6st,stimulus,medium,test,
0.3.0,30/01/2017,12:24:37,20,10,29.25888024,abin,pilot,0.0.6,6st,stimulus,medium,test,
