"psych_version","start_date","start_time","offset","trial","time","sid","condition","version","separation","code","stimulus","phase","value"
"0.2.1+","2017-01-23","11:22:51",1,0,0.034676164854317904,5,"pilot","0.0.5","8st","instructions",NA,NA,NA
"0.2.1+","2017-01-23","11:22:51",1,0,49.0033164726583,5,"pilot","0.0.5","8st","instructions",NA,NA,NA
"0.2.1+","2017-01-23","11:22:51",2,0,55.145153508336534,5,"pilot","0.0.5","8st","practice_start",NA,NA,NA
"0.2.1+","2017-01-23","11:22:51",2,0,55.15058093021389,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,55.729312594999556,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,56.30544501026907,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,56.88157776772505,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,57.45854614489099,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,58.03469977573104,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,58.612334732420095,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,59.18851813349511,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,59.76465978780334,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,60.34080760147026,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,60.91826598986745,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,61.49438642860514,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,62.0705250032338,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,62.646686504365334,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,63.22283466021918,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,63.80884908270082,5,"pilot","0.0.5","8st","high_latency",NA,NA,0.010014422481638974
"0.2.1+","2017-01-23","11:22:51",2,0,64.03114069276353,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
"0.2.1+","2017-01-23","11:22:51",2,0,64.61005029458875,5,"pilot","0.0.5","8st","stimulus","low","practice",NA
